Segment,Number of Speakers,Number of Speeches,Number of Speeches per Speaker
EN2001a_0910_0920,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0920_0930,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0930_0940,3,5,"[2, 2, 1, 0, 0]"
EN2001a_0940_0950,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0950_0960,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0960_0970,2,6,"[3, 3, 0, 0, 0]"
EN2001a_0970_0980,3,12,"[5, 5, 2, 0, 0]"
EN2001a_0980_0990,2,13,"[7, 6, 0, 0, 0]"
EN2001a_0990_1000,2,6,"[3, 3, 0, 0, 0]"
EN2001a_1000_1010,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1010_1020,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1020_1030,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1030_1040,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1040_1050,2,5,"[3, 2, 0, 0, 0]"
EN2001a_1050_1060,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1060_1070,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1070_1080,3,11,"[5, 4, 2, 0, 0]"
EN2001a_1080_1090,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1090_1100,2,8,"[4, 4, 0, 0, 0]"
EN2001a_1100_1110,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1110_1120,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1120_1130,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1130_1140,3,6,"[3, 2, 1, 0, 0]"
EN2001a_1140_1150,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1150_1160,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1160_1170,2,7,"[4, 3, 0, 0, 0]"
EN2001a_1170_1180,2,5,"[3, 2, 0, 0, 0]"
EN2001a_1180_1190,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1190_1200,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1200_1210,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1210_1220,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1220_1230,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1230_1240,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1240_1250,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1250_1260,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1260_1270,2,5,"[3, 2, 0, 0, 0]"
EN2001a_1270_1280,3,5,"[2, 2, 1, 0, 0]"
EN2001a_1280_1290,2,4,"[2, 2, 0, 0, 0]"
EN2001a_1290_1300,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1300_1310,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1310_1320,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1320_1330,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1330_1340,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1340_1350,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1350_1360,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1360_1370,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1370_1380,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1380_1390,2,4,"[2, 2, 0, 0, 0]"
EN2001a_1390_1400,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1400_1410,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1410_1420,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1420_1430,2,8,"[4, 4, 0, 0, 0]"
EN2001a_1430_1440,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1440_1450,2,4,"[2, 2, 0, 0, 0]"
EN2001a_1450_1460,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1460_1470,2,5,"[3, 2, 0, 0, 0]"
EN2001a_1470_1480,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1480_1490,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1490_1500,2,11,"[6, 5, 0, 0, 0]"
EN2001a_1500_1510,2,3,"[2, 1, 0, 0, 0]"
EN2001a_1510_1520,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1520_1530,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1530_1540,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1540_1550,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1550_1560,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1560_1570,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1570_1580,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1580_1590,2,3,"[2, 1, 0, 0, 0]"
EN2001a_1590_1600,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1600_1610,2,3,"[2, 1, 0, 0, 0]"
EN2001a_1610_1620,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1620_1630,2,3,"[2, 1, 0, 0, 0]"
EN2001a_1630_1640,3,11,"[6, 3, 2, 0, 0]"
EN2001a_1640_1650,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1650_1660,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1660_1670,2,4,"[2, 2, 0, 0, 0]"
EN2001a_1670_1680,2,8,"[4, 4, 0, 0, 0]"
EN2001a_1680_1690,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1690_1700,3,9,"[4, 4, 1, 0, 0]"
EN2001a_1700_1710,3,14,"[5, 5, 4, 0, 0]"
EN2001a_1710_1720,3,7,"[3, 2, 2, 0, 0]"
EN2001a_1720_1730,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1730_1740,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1740_1750,4,10,"[4, 3, 2, 1, 0]"
EN2001a_1750_1760,3,7,"[4, 2, 1, 0, 0]"
EN2001a_1760_1770,3,8,"[4, 3, 1, 0, 0]"
EN2001a_1770_1780,2,5,"[3, 2, 0, 0, 0]"
EN2001a_1780_1790,3,17,"[8, 8, 1, 0, 0]"
EN2001a_1790_1800,2,13,"[7, 6, 0, 0, 0]"
EN2001a_1800_1810,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1810_1820,3,11,"[5, 5, 1, 0, 0]"
EN2001a_1820_1830,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1830_1840,2,7,"[4, 3, 0, 0, 0]"
EN2001a_1840_1850,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1850_1860,2,7,"[4, 3, 0, 0, 0]"
EN2001a_1860_1870,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1870_1880,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1880_1890,2,10,"[5, 5, 0, 0, 0]"
EN2001a_1890_1900,2,3,"[2, 1, 0, 0, 0]"
EN2001a_1900_1910,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1910_1920,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1920_1930,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1930_1940,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1940_1950,2,3,"[2, 1, 0, 0, 0]"
EN2001a_1950_1960,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1960_1970,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1970_1980,1,1,"[1, 0, 0, 0, 0]"
EN2001a_1980_1990,2,2,"[1, 1, 0, 0, 0]"
EN2001a_1990_2000,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2000_2010,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2010_2020,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2020_2030,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2030_2040,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2040_2050,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2050_2060,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2060_2070,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2070_2080,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2080_2090,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2090_2100,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2100_2110,3,4,"[2, 1, 1, 0, 0]"
EN2001a_2110_2120,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2120_2130,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2130_2140,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2140_2150,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2150_2160,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2160_2170,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2170_2180,2,5,"[3, 2, 0, 0, 0]"
EN2001a_2180_2190,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2190_2200,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2200_2210,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2210_2220,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2220_2230,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2230_2240,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2240_2250,2,8,"[4, 4, 0, 0, 0]"
EN2001a_2250_2260,3,4,"[2, 1, 1, 0, 0]"
EN2001a_2260_2270,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2270_2280,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2280_2290,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2290_2300,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2300_2310,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2310_2320,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2320_2330,3,11,"[5, 3, 3, 0, 0]"
EN2001a_2330_2340,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2340_2350,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2350_2360,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2360_2370,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2370_2380,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2380_2390,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2390_2400,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2400_2410,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2410_2420,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2420_2430,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2430_2440,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2440_2450,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2450_2460,3,5,"[2, 2, 1, 0, 0]"
EN2001a_2460_2470,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2470_2480,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2480_2490,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2490_2500,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2500_2510,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2510_2520,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2520_2530,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2530_2540,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2540_2550,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2550_2560,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2560_2570,2,8,"[4, 4, 0, 0, 0]"
EN2001a_2570_2580,2,5,"[3, 2, 0, 0, 0]"
EN2001a_2580_2590,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2590_2600,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2600_2610,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2610_2620,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2620_2630,3,5,"[2, 2, 1, 0, 0]"
EN2001a_2630_2640,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2640_2650,2,5,"[3, 2, 0, 0, 0]"
EN2001a_2650_2660,3,3,"[1, 1, 1, 0, 0]"
EN2001a_2660_2670,2,8,"[4, 4, 0, 0, 0]"
EN2001a_2670_2680,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2680_2690,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2690_2700,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2700_2710,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2710_2720,2,7,"[4, 3, 0, 0, 0]"
EN2001a_2720_2730,2,8,"[4, 4, 0, 0, 0]"
EN2001a_2730_2740,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2740_2750,2,5,"[3, 2, 0, 0, 0]"
EN2001a_2750_2760,3,6,"[3, 2, 1, 0, 0]"
EN2001a_2760_2770,4,15,"[7, 4, 3, 1, 0]"
EN2001a_2770_2780,2,5,"[3, 2, 0, 0, 0]"
EN2001a_2780_2790,2,5,"[3, 2, 0, 0, 0]"
EN2001a_2790_2800,2,8,"[4, 4, 0, 0, 0]"
EN2001a_2800_2810,3,6,"[3, 2, 1, 0, 0]"
EN2001a_2810_2820,3,13,"[6, 5, 2, 0, 0]"
EN2001a_2820_2830,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2830_2840,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2840_2850,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2850_2860,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2860_2870,3,3,"[1, 1, 1, 0, 0]"
EN2001a_2870_2880,1,1,"[1, 0, 0, 0, 0]"
EN2001a_2880_2890,2,7,"[4, 3, 0, 0, 0]"
EN2001a_2890_2900,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2900_2910,2,6,"[3, 3, 0, 0, 0]"
EN2001a_2910_2920,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2920_2930,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2930_2940,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2940_2950,2,3,"[2, 1, 0, 0, 0]"
EN2001a_2950_2960,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2960_2970,2,5,"[3, 2, 0, 0, 0]"
EN2001a_2970_2980,2,2,"[1, 1, 0, 0, 0]"
EN2001a_2980_2990,2,4,"[2, 2, 0, 0, 0]"
EN2001a_2990_3000,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3000_3010,2,8,"[4, 4, 0, 0, 0]"
EN2001a_3010_3020,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3020_3030,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3030_3040,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3040_3050,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3050_3060,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3060_3070,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3070_3080,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3080_3090,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3090_3100,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3100_3110,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3110_3120,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3120_3130,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3130_3140,2,7,"[4, 3, 0, 0, 0]"
EN2001a_3140_3150,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3150_3160,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3160_3170,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3170_3180,2,11,"[6, 5, 0, 0, 0]"
EN2001a_3180_3190,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3190_3200,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3200_3210,2,7,"[4, 3, 0, 0, 0]"
EN2001a_3210_3220,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3220_3230,2,10,"[5, 5, 0, 0, 0]"
EN2001a_3230_3240,2,10,"[5, 5, 0, 0, 0]"
EN2001a_3240_3250,2,6,"[3, 3, 0, 0, 0]"
EN2001a_3250_3260,2,6,"[3, 3, 0, 0, 0]"
EN2001a_3260_3270,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3270_3280,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3280_3290,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3290_3300,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3300_3310,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3310_3320,2,6,"[3, 3, 0, 0, 0]"
EN2001a_3320_3330,2,9,"[5, 4, 0, 0, 0]"
EN2001a_3330_3340,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3340_3350,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3350_3360,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3360_3370,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3370_3380,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3380_3390,2,7,"[4, 3, 0, 0, 0]"
EN2001a_3390_3400,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3400_3410,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3410_3420,2,7,"[4, 3, 0, 0, 0]"
EN2001a_3420_3430,3,12,"[6, 5, 1, 0, 0]"
EN2001a_3430_3440,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3440_3450,2,10,"[5, 5, 0, 0, 0]"
EN2001a_3450_3460,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3460_3470,3,3,"[1, 1, 1, 0, 0]"
EN2001a_3470_3480,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3480_3490,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3490_3500,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3500_3510,3,9,"[5, 3, 1, 0, 0]"
EN2001a_3510_3520,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3520_3530,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3530_3540,3,3,"[1, 1, 1, 0, 0]"
EN2001a_3540_3550,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3550_3560,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3560_3570,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3570_3580,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3580_3590,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3590_3600,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3600_3610,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3610_3620,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3620_3630,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3630_3640,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3640_3650,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3650_3660,2,5,"[3, 2, 0, 0, 0]"
EN2001a_3660_3670,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3670_3680,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3680_3690,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3690_3700,2,5,"[3, 2, 0, 0, 0]"
EN2001a_3700_3710,2,1,"[1, 0, 0, 0, 0]"
EN2001a_3710_3720,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3720_3730,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3730_3740,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3740_3750,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3750_3760,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3760_3770,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3770_3780,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3780_3790,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3790_3800,2,7,"[4, 3, 0, 0, 0]"
EN2001a_3800_3810,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3810_3820,2,4,"[2, 2, 0, 0, 0]"
EN2001a_3820_3830,3,3,"[1, 1, 1, 0, 0]"
EN2001a_3830_3840,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3840_3850,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3850_3860,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3860_3870,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3870_3880,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3880_3890,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3890_3900,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3900_3910,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3910_3920,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3920_3930,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3930_3940,2,2,"[1, 1, 0, 0, 0]"
EN2001a_3940_3950,2,3,"[2, 1, 0, 0, 0]"
EN2001a_3950_3960,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3960_3970,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3970_3980,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3980_3990,1,1,"[1, 0, 0, 0, 0]"
EN2001a_3990_4000,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4000_4010,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4010_4020,2,3,"[2, 1, 0, 0, 0]"
EN2001a_4020_4030,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4030_4040,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4040_4050,2,7,"[4, 3, 0, 0, 0]"
EN2001a_4050_4060,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4060_4070,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4070_4080,2,2,"[1, 1, 0, 0, 0]"
EN2001a_4080_4090,1,1,"[1, 0, 0, 0, 0]"
EN2001a_4090_4100,2,2,"[1, 1, 0, 0, 0]"
